count	reward_sum	squared_reward_sum	length
53	-89.86628370211812	10008.421976686206	265
54	-87.15997805649526	10005.513552217928	221
55	-86.66613293481848	10003.851498658882	106
56	-97.74249513914087	10005.323120745945	172
57	-85.80744075338545	10007.320774131455	244
58	-83.98279686832072	10006.875868515981	197
59	-86.2187515860849	10007.9420656339	206
60	-81.01554341801135	10005.306469281799	191
61	-86.43754007499753	10003.636969136514	101
62	-83.76587535625495	10005.45551681182	201
63	-99.79981053083871	10007.001372537276	168
64	-94.36553358870069	10007.226084574435	429
65	-104.50459259826327	10006.725852510986	254
66	-89.54296109478688	10005.367179146615	104
67	-99.94178201131822	10007.180143730002	185
68	-92.65058601307854	10007.05007165237	302
69	-106.30817817039674	10010.410048302043	285
70	-80.27400502650053	10004.007715154075	193
71	-99.1132593901842	10007.094888476795	170
72	-92.71841888304027	10006.297064232302	354
73	-96.21765678797495	10006.978339302888	149
74	-85.20165077213441	10005.634879817282	278
75	-77.48347113722846	10008.019656327639	279
76	-89.47474857208864	10004.639529107737	209
77	-87.72308549779865	10004.199692054777	110
78	-82.84587629055311	10004.578492874598	185
79	-83.27597792504389	10005.202995701728	196
80	-111.75117959303103	10008.888681607688	397
81	-85.52749892486487	10004.893279457616	105
82	-84.97870021437707	10006.176931991551	214
83	-81.15826110958982	10005.927534372038	213
84	-84.10702677947806	10007.544468114966	223
85	-48.137637982478424	10012.721171980047	321
86	-184.03190206731304	25.391301999708173	2000
87	-75.25141932085945	10008.009367365317	191
88	-85.66437273893891	10004.248022481379	108
89	-87.76536971470046	10004.769447710178	109
90	-89.60956514242324	10004.461842479985	128
91	-74.35241892008655	10008.137080344988	183
92	-84.63550027545905	10004.741449806115	107
93	-77.86490827452555	10007.515692253246	211
94	-85.5115194829829	10004.912081643639	120
95	-86.33737112161161	10003.137704682475	116
96	-85.39520278710258	10003.805193120455	122
97	-81.19671622860652	10006.065194698152	216
98	-98.45578719751485	10010.403895960488	259
99	-78.85368390089694	10006.833313654666	215
100	-79.82500516486797	10006.208594429838	184
101	-82.64309948145541	10005.549534910118	224
102	-86.85694343815331	10006.02592721649	254
103	-75.35097878331503	10005.837916631823	215
104	-86.22625923466597	10003.082051343808	128
105	-91.24452796474128	10005.525766608042	245
106	-85.56021740420873	10003.682625322812	119
107	-84.22496755083193	10003.983369864807	122
108	-74.6436196654393	10006.526787416436	213
109	-84.0340466419666	10004.600578776763	116
110	-69.20502878446068	10006.845636255244	214
111	-85.27745915678399	10003.84639960878	117
112	-83.18723057837389	10008.141009653053	212
113	-76.75990001945172	10006.01727188278	204
114	-77.90942370178658	10007.673054307248	163
115	-80.97694959111227	10005.116783840549	129
116	-79.77467169321753	10004.856309987226	163
117	-83.31320284587125	10004.834857479465	138
118	-77.74581424227692	10005.816030344367	172
119	-81.46278032021927	10007.02623684607	224
120	-71.20584878509624	10006.895366784218	189
121	-75.15662192969086	10005.496113501285	225
122	-79.49213358375056	10006.966316549091	228
123	-78.47278655292817	10007.964305376192	154
124	-71.74963646411105	10006.81776089856	190
125	-72.09575402704975	10006.807959376392	193
126	-76.53232589225965	10005.790549024576	148
127	-75.65083158149781	10006.982602265884	187
128	-82.27578480734888	10004.389336114511	135
129	-72.83543321534802	10006.407985415328	211
130	-105.60477589783305	10011.626017434863	377
131	-72.1704918431393	10006.84037719164	191
