count	reward_sum	squared_reward_sum	length
47	-99.87873370980265	10003.083555089788	118
48	-100.90096276266549	10002.137551764354	82
49	-117.34637922007278	10006.765618370508	57
50	-106.52886111344179	10005.681713519578	286
51	-149.94913483662077	10006.683403478439	1249
52	-144.74410756448276	10007.76845869866	1464
53	-100.94796840298217	10000.374757262549	72
54	-100.36065962018957	10000.261747075068	69
55	-100.99584958705384	10000.330295938487	65
56	-103.41939711370408	10000.447517654735	62
57	-102.38875502773237	10000.299473272646	66
58	-103.08671799714499	10000.389893596268	66
59	-102.92143225368099	10000.316461524282	67
60	-99.84829757039847	10000.488782486093	76
61	-98.15600511154788	10001.082603607127	147
62	-103.53303808997481	10000.347020363562	62
63	-100.65713221375175	10000.28560049834	107
64	-103.44364734668031	10000.427489826332	69
65	-98.01397289908493	10000.832550716335	112
66	-104.83128704957757	10000.536526448786	72
67	-103.64739144708405	10000.733101987327	138
68	-102.34232387692857	10000.738002970495	145
69	-104.51578387618183	10001.292531909568	139
70	-102.37178494421214	10000.78482591806	115
71	-55.55490165617326	4.354214056883036	2000
72	-112.03600619684323	10002.383720996702	83
73	-116.3934050925421	10004.6435291948	109
74	-120.44869633442629	10004.597909655762	174
75	-107.80524980504941	10000.807423759989	349
76	-58.11848652836193	4.577747804503573	2000
77	-109.77581179415265	10001.552656545793	168
78	-112.94707024613987	10003.088077112045	115
79	-111.00196198804616	10002.24977012529	95
80	-117.9783986720536	10005.639702822302	108
81	-105.59622380290172	10001.093032520914	100
82	-103.4472244384576	10000.560193401427	73
83	-101.63266692947296	10000.47452365399	74
84	-103.0595156183308	10001.4253988572	119
85	-103.18798486976095	10000.712294152898	86
86	-121.87644363240682	10006.819062005969	137
87	-102.8002839924916	10000.441172885288	70
88	-103.50511353381133	10000.40574938319	87
89	-104.65013277800631	10000.710647310196	76
90	-85.95492106794244	9.746984973398213	2000
91	-109.08745337088425	10003.557898340756	214
92	-117.72460546272116	10002.896359368222	374
93	-114.99727262858093	10001.818053477473	283
94	-111.55067441764558	10004.044971056732	319
95	-59.73977482422899	3.850340613403549	2000
96	-104.2933169187871	10000.816822983454	74
97	-119.47896710598573	10005.550392649906	98
98	-43.63622467976301	5.722747417923484	2000
99	-121.2214324705119	10005.0221737385	110
100	-126.79269973576645	10006.570262447216	170
101	-120.04387059074017	10005.29408959306	91
102	-118.91941083524932	10004.305376311202	120
103	-102.35133250553734	10002.875524801275	189
104	-123.73553722243578	10007.102172346527	147
105	-109.08099500525626	10002.391958050457	484
106	-135.87873766434228	10004.25043474543	1456
107	-103.4822801577614	10002.601539137831	274
108	-117.0826405745291	10003.723785988368	935
109	-121.68358262489613	10005.313537322349	144
110	-109.38694593764265	10003.431135574618	395
111	-123.19884349248579	10005.566507324593	1124
112	-65.73629132734209	12.486141935739052	2000
113	-58.78525611005332	4.631584186875863	2000
114	-52.9910003828105	3.5811623542902393	2000
115	-51.05110744254593	3.0870976898478273	2000
116	-52.17858464400176	3.346522500532349	2000
117	-52.19122060364425	2.709858199230145	2000
118	-53.360742968753826	2.537748060682645	2000
119	-55.595306262038584	2.840101697725231	2000
120	-46.910653060905304	2.200611903000606	2000
121	-71.89113509597259	6.130703902693124	2000
122	-115.06984054574517	10003.469676200399	88
123	-121.31666912140328	10004.771839934823	145
124	-118.03490004513463	10004.780724002798	93
125	-123.56224077972911	10005.248653577471	143
126	-125.63290625465841	10005.595950404257	172
127	-117.66526530834558	10004.274373376871	97
128	-107.64320220061563	10001.239839308395	58
129	-59.99079638917104	5.562106015920542	2000
130	-61.44042197858858	3.540896430917264	2000
131	-64.34241256873119	4.5367173579200415	2000
132	-44.07053764237288	2.518748629596769	2000
133	-42.1942882358783	1.938011504051869	2000
134	-53.22065401025558	2.1270658591397096	2000
135	-46.56459777258983	2.1410614138116615	2000
136	-36.48648480742666	2.1271262871358196	2000
137	-47.043345626995176	2.7601982376932566	2000
138	-43.50277806480511	2.7035345668534085	2000
139	-61.48487004062695	2.769182058142108	2000
140	-46.481811243496	2.265917283435677	2000
141	-77.84657828289001	4.304794990916859	2000
142	-76.93946454080255	3.8442201604787973	2000
143	-65.83425224172	4.385456893935612	2000
144	-55.15297203210945	3.481672440193923	2000
145	-48.58507471901607	3.597939952952361	2000
146	-50.54571158442502	3.59471786073141	2000
147	-55.903677733304825	4.284183167988267	2000
148	-56.323588555407284	7.565787987756389	2000
149	-64.30056947385134	3.691480445728903	2000
150	-92.9257798962692	10002.02214947696	246
151	-60.63981229648766	4.329849615637318	2000
152	-64.76318900311561	6.272994290527677	2000
153	-86.7004796212199	10002.861880582625	132
154	-43.67307335755333	5.807262801960731	2000
155	-95.56712247443251	10001.891880042547	117
156	-94.41437187411084	10001.493291467732	139
157	-92.27924314438917	10001.868480405987	154
158	-96.08624723472855	10001.739992043624	123
159	-113.94829379759534	10003.257657865268	661
160	-91.60676317790048	10002.360456035698	142
161	-93.92212767371512	10001.820656463331	172
162	-103.46214674178536	10005.046861180459	765
163	-91.30014910258538	10002.903333840093	265
164	-89.75469868661877	10003.120466963574	155
165	-93.10401625952143	10001.761901689033	250
166	-96.08961309133173	10000.900030083492	132
167	-93.7026164475574	10002.781276793192	273
168	-94.20498674812053	10002.029411729314	181
169	-54.52603946112443	2.718965331147443	2000
170	-50.718132904507875	2.7256431886108667	2000
171	-46.45972964920343	2.9957859080176887	2000
172	-27.04296366101268	5.389566501261304	2000
173	-130.01415557882723	10008.659136960136	182
174	-123.31981060980067	10011.660423276615	65
175	-39.98764541532509	10.411523953005062	2000
176	-45.774661873225206	2.5170233800686272	2000
177	-57.518898128189676	3.6267831137462574	2000
178	-46.963070876597044	2.978318925501071	2000
179	-41.30264914778395	4.875953915279882	2000
180	-46.953699449325974	2.7559208707109053	2000
181	-49.98513937428005	2.7145434964090707	2000
182	-46.31114329105694	2.405588562189645	2000
183	-43.08439307365648	1.9028650193977983	2000
184	-43.44766740020152	1.9977443729203936	2000
185	-41.009113448291664	2.2376923758308322	2000
186	-40.689443878232396	2.0601749990606413	2000
187	-44.47404087428739	1.952577176364582	2000
188	-40.76734953976016	2.8075345711294	2000
189	-39.492019265231676	2.010449879195989	2000
190	-40.90275042305737	2.2029989979159748	2000
191	-39.91263862800103	2.1495723150386596	2000
192	-41.52942553215311	2.915702261753452	2000
193	-36.151430724690236	2.1906398371406945	2000
194	-38.25533693764265	2.0161922432850194	2000
195	-48.26432382671914	4.916599206047436	2000
196	-32.79473814097281	13.10781375688738	2000
197	-45.02167221546542	2.9528045486674532	2000
198	-117.88214522853706	10005.541765649692	98
199	-37.66049208839512	2.3940152779705923	2000
200	-112.04439444897707	10003.966754868428	48
201	-111.06194434822247	10003.518722955976	46
202	-111.5773340309862	10003.843355520026	47
203	-111.30604962645774	10003.668028487209	46
204	-110.95802827023526	10003.65871840202	44
205	-119.31597848115945	10008.521616737398	69
206	-121.8503165529187	10008.830894491917	98
207	-21.34466304790984	14.246764059007578	2000
208	-114.94327206891836	10019.009296551378	1032
209	-33.81122598649905	10.147781781487144	2000
210	29.01198116371359	27.528192582976434	2000
211	28.599894429840557	42.03246871438639	2000
212	70.5777179693216	34.818598875781845	2000
213	7.709350626659702	35.44921902072206	2000
214	-87.70048935454592	10026.922646471765	1620
215	102.31736729994695	16.72451401097488	2000
216	96.89471756704374	27.791632929122386	2000
217	2.010775774177006	36.180400081637615	2000
218	169.1962407708766	26.11080923360475	2000
219	-47.5963679235164	10.144392530252112	2000
220	-22.605195076803113	11.477251144369715	2000
221	-24.838799676594814	10.974118371122254	2000
222	-59.89041204350765	10009.061913269976	427
