count	reward_sum	squared_reward_sum	length
90	-78.21878137806686	10005.644573220994	186
91	-78.73391844949876	10005.621374471277	179
92	-74.75924963906458	10005.647233669833	261
93	-77.72713400364418	10005.45742113259	180
94	-81.31663416650368	10005.618456672702	235
95	-82.48159062112757	10005.778279220835	212
96	-80.43723385224513	10005.896241788561	205
97	-71.692828227261	10010.478427500268	424
98	-134.1872060824293	32.28937489135895	2000
99	-81.36079589854234	10006.787552885598	198
100	-76.31825968037485	10006.47843474581	183
101	-49.352913539607925	10015.00638163788	432
102	-49.847289201338015	10015.496211873711	393
103	-75.81539106927076	10008.876654589076	401
104	-79.24185607482346	10006.009715386162	202
105	-81.18782249101884	10006.614985230162	210
106	-78.20331973987001	10006.536241968197	192
107	-74.90791875127407	10006.186993501218	212
108	-76.79811530626219	10006.135618914535	205
109	-77.48143361259388	10006.16339180605	192
110	-79.26070610319412	10006.43535821052	191
111	-84.49139491704042	10003.440722465997	115
112	-73.97057176797593	10005.749903251372	202
113	-85.98464524770745	10003.04434419851	113
114	-86.45067840923669	10003.473859511312	110
115	-79.39922858127278	10005.858420454355	176
116	-74.87633328156328	10007.721161634776	333
117	-73.93035707873604	10005.919647750505	197
118	-90.05207001228622	10008.911184666	234
119	-79.75688220247795	10005.858297386461	206
120	-80.02129394838374	10006.852152524501	187
121	-79.99298607722467	10005.56277162229	201
122	-78.6545694917414	10005.47613355564	184
123	-71.37112298909854	10007.038565868792	184
124	-76.89871066168342	10005.618925095634	184
125	-75.1559930238608	10008.360083826456	327
126	-77.20644507686603	10005.981547217474	186
127	-85.27188077940764	10005.263517911952	257
128	-78.98314660112214	10005.405645064631	178
129	-78.35258774604613	10007.283090033294	179
130	-76.64825515758997	10006.228433326878	166
131	-77.85357039715825	10005.958946780418	179
132	-75.17244298409719	10006.738940317524	171
133	-75.09655705271967	10006.156287317019	179
134	-80.42973587931976	10005.240362063483	199
135	-78.2535379388393	10006.334967640612	177
136	-74.12920704274035	10005.091631781848	221
137	-77.47373239685733	10005.33672972723	148
138	-80.25264732451839	10006.480274248452	193
139	-76.32779085705411	10006.131887778136	176
140	-75.60745272972446	10007.03075661442	141
141	-73.19283552646768	10006.837968894806	177
142	-80.00009679570086	10006.66887772877	173
143	-79.66291513438647	10005.675699287975	206
144	-104.05758900848514	10011.246446949517	218
145	-78.63157977089931	10007.082876333523	180
146	-141.47623528588332	10024.861793141807	964
147	-77.50459271199162	10006.717114006784	174
148	-77.50715416163466	10006.938295255006	183
149	-77.16376349123321	10005.590075523098	186
150	-76.45038575567119	10007.316432796799	166
151	-72.1766208687745	10006.680197479704	185
152	-85.65314851930268	10003.282656706242	106
153	-77.85837878666959	10006.128835400763	191
154	-78.05154497325167	10006.298635882185	181
155	-75.85205655103785	10006.631343956404	168
156	-78.22500055298677	10005.776590813668	183
157	-74.10829871663286	10006.625942554001	181
158	-75.18640016213263	10006.067826283057	188
159	-79.28897214575025	10006.469373990807	168
160	-78.22676466329602	10006.280925605493	190
161	-77.83547511382288	10006.808147260614	188
162	-71.51885626494469	10006.85187136495	188
163	-78.67697556382144	10006.644665959717	185
164	-72.64320892017088	10005.931404653113	229
165	-77.49302007966494	10007.206500002223	174
166	-76.90756440682057	10007.538499162598	162
167	-71.00055430069487	10006.6187932208	196
168	-77.03597804454269	10006.472942613613	177
169	-84.62298857033016	10003.159370351997	123
170	-73.11087743085699	10006.305949340542	191
171	-69.12860638850563	10006.736785236899	206
172	-79.84342914727367	10004.889912580626	214
173	-79.43094832473236	10006.404340157207	178
174	-76.35259887161538	10006.705965506706	176
175	-75.39325157900026	10005.871070871855	198
176	-85.72489783014035	10002.862753858819	115
177	-79.43481509391277	10005.935678872385	228
178	-81.88402116241707	10006.357600110387	177
179	-74.63065272008771	10006.274411917202	216
180	-84.43690362315347	10003.324336486707	115
181	-70.48637551501369	10007.002668039268	179
182	-79.1509991169869	10006.664885298973	168
183	-70.38782507762947	10006.747385680037	195
184	-68.64437986700646	10006.571022642416	210
185	-76.28123935722002	10005.060108818647	211
186	-73.78959535659129	10006.656279142388	174
187	-72.902099734767	10006.101953550524	195
188	-75.59426556341698	10006.754852604103	186
189	-77.94964315047909	10006.213034750119	236
190	-70.21827659713752	10006.910093132517	213
191	-76.94338037627273	10005.838296639966	215
192	-72.10354958952269	10005.831331753127	210
193	-74.27960895480507	10005.522671629265	208
194	-77.09251337041795	10006.283039371276	182
195	-70.3397112603059	10007.268220778082	196
196	-77.77650651291933	10005.91347980655	196
197	-74.07877031434342	10005.97032373502	218
198	-67.91278859859464	10007.220882514575	211
199	-71.62054206513369	10005.64452938196	216
200	-75.66684199890446	10005.991680380317	186
201	-74.91323608351011	10005.952770919177	218
202	-73.44846035937876	10006.703334743215	279
203	-69.62043804906378	10006.69860104202	197
204	-71.78640861973804	10005.705075312833	229
205	-110.35235120317026	10019.838375033447	750
206	-81.98406326291206	10006.742093164637	227
207	-82.23167318747714	10006.349468191469	219
208	-67.25261025275216	10007.25027895263	207
209	-69.20135814779759	10006.28309631447	225
210	-74.40644590111386	10005.951697250946	185
211	-70.77619031889195	10006.486174079877	208
212	-68.5189072835942	10007.304380039266	206
213	-69.78122759746827	10006.361971728891	209
214	-74.53198010330684	10007.194771214372	233
215	-98.55543715282354	10010.845181992783	352
216	-67.67712510036861	10006.853167602238	212
217	-77.34715552087745	10005.771879660202	209
218	-66.90261147028045	10007.705158853916	195
219	-78.41913106806628	10006.013533879726	231
220	-69.82395774984306	10006.780820219761	203
221	-72.24124142235632	10005.808379757158	197
222	-78.088736091628	10004.661941874014	147
223	-67.23946627293564	10007.629614084635	191
224	-66.70301405115823	10007.183463369616	203
225	-69.70553812055883	10006.975413163591	194
226	-70.33132827577772	10006.280115412923	201
227	-77.071533017883	10006.515270784306	187
228	-76.1677597216289	10005.690913592745	213
229	-68.75794655058638	10007.340853127096	199
230	-82.73541708928174	10006.485609041736	235
231	-69.58255719328011	10006.152100484776	219
232	-84.31170661719737	10005.855193502171	255
233	-77.27180176131655	10006.487764670319	202
234	-77.43176541967404	10005.333500461118	205
235	-71.84388931904903	10007.39972362387	235
236	-71.8573424048372	10006.442581783647	201
237	-81.4495992436817	10006.5228438101	221
238	-66.7474857667845	10007.62703213045	195
239	-66.43968802070953	10007.610349267377	203
240	-75.14986119067973	10007.45242132701	151
241	-71.40515924474514	10007.851242848776	363
242	-76.28497636653003	10005.939516146438	217
243	-67.76414367197756	10007.270213836026	213
244	-72.55348708939638	10005.281590346085	225
245	-65.74358587745596	10007.56221104279	224
246	-68.7158366334009	10006.787425744307	200
247	-69.4009382891004	10006.807091691817	194
248	-67.3992443188352	10007.398310787114	196
249	-72.77595379537955	10006.231406986557	218
250	-74.62676938481096	10006.15072267205	145
