count	reward_sum	squared_reward_sum	length
0	-97.2823905577719	10002.458271590265	83
1	-96.61006291177095	10002.484249752739	100
2	-100.76513045598767	10003.618062540672	95
3	-103.2235420148391	10000.409976406116	127
4	-129.18105894324373	10005.62427847994	1734
5	-114.90444400206073	10008.72722943924	89
6	-111.52164998206663	10003.745543554769	42
7	-103.57880781598239	10002.813047742235	69
8	-123.08138917257295	10003.794763373833	500
9	-113.02590662316909	10003.259270686412	75
10	-105.21403954894343	10002.51200047311	151
11	-156.67286709128047	10017.571977871025	1087
12	-58.70089868057701	18.746615818855222	2000
13	-43.55187472518923	5.42956107823183	2000
14	-103.06679130070442	10001.603161936582	68
15	-97.78366253246355	10004.164542888246	114
16	-102.03730888995591	10002.534342508534	77
17	-99.4175638138661	10002.912802621473	71
18	-98.610532509362	10003.27597555043	120
19	-97.23249424324517	10003.070889666085	105
20	-99.9884304199046	10002.537174922812	167
21	-103.78160626406864	10001.743677917822	93
22	-130.0227230646985	10009.548070507086	133
23	-104.57304941329528	10001.362526539928	73
24	-100.70487086932084	10002.08243859007	81
25	-102.4499161410492	10001.815670889628	71
26	-103.62882918878509	10002.466844320707	63
27	-120.04217439290265	10004.750944402165	127
28	-99.71285873101256	10001.747186536437	82
29	-98.44879725209742	10002.28353447746	90
30	-102.75052688460045	10001.452618296527	78
31	-100.38685357881931	10002.080967569143	90
32	-101.18423715157988	10001.502398066952	144
33	-109.02189190816173	10002.220041540375	52
34	-99.17795019871798	10003.577789926065	128
35	-100.93400370465638	10001.3262334449	107
36	-101.99620952350777	10003.383076986582	137
37	-100.01405611794158	10002.291797496408	85
38	-121.11582985871871	10004.523969622167	183
39	-100.09918086855882	10004.022693814317	79
40	-102.28125827605626	10001.833957867751	73
41	-103.81419646692811	10002.080659174995	77
42	-100.77316327751126	10003.059336754348	66
43	-100.68427991109778	10002.720703158824	68
44	-103.21169425550092	10001.189965443598	76
45	-104.26092698366718	10001.402111158266	74
46	-99.77926119648842	10003.646365670473	71
47	-99.77667397884481	10002.675793827575	64
48	-100.60641352018214	10004.431576422676	93
49	-101.76511379096365	10003.922886460176	78
50	-100.39752146257861	10003.071661978229	73
51	-100.05044482081992	10003.379106325678	95
52	-100.32089355949813	10003.82323554375	75
53	-101.28202985211797	10002.898157490936	78
54	-100.66966800901166	10002.625255394849	82
55	-103.12996997609265	10003.226713097014	69
56	-100.4258082685457	10003.500695305533	73
57	-102.50954611776828	10002.613989525655	112
58	-99.86929562250383	10002.165366583406	81
59	-103.22963254483174	10003.057837343858	73
60	-104.31762852540534	10002.565764976842	82
61	-110.69469675789281	10005.722666051835	81
62	-101.88143652619127	10004.54794456554	99
63	-107.899983593944	10003.595545249427	85
64	-103.70987045523239	10003.675041514694	73
65	-103.07653345019916	10003.73183392616	84
66	-99.95153652439231	10002.835678008038	96
67	-62.03649490504581	15.398750345424242	2000
68	-57.485595527858166	5.481591299642064	2000
69	-58.68582531840339	4.236070504605968	2000
70	-108.13278347041775	10001.747014790473	41
71	-108.93079409834075	10002.094172444264	41
72	-107.51257421164537	10001.520317948622	43
73	-59.33243706905112	10.759080344440406	2000
74	-104.28547796823024	10000.738762802337	101
75	-67.58720448957139	5.083759173572749	2000
76	-49.67659174837568	5.045091219208605	2000
77	-137.60321150851863	10010.344203845156	837
78	-110.0736826640628	10003.570315686531	257
79	-115.70736148924027	10003.312538531503	277
80	-52.10121509624148	6.355729983331726	2000
81	-44.428436104498054	4.8516257853948845	2000
82	-39.655797845547745	6.781549135568131	2000
83	-39.530271321525184	2.4368485912916737	2000
84	-41.76994052973537	2.487551992816021	2000
85	-42.861636268161455	2.051124562283688	2000
86	-38.60505410477012	3.4403651343649293	2000
87	-40.494598882307336	2.9602880899619657	2000
88	-43.51348957422555	3.1590481648924698	2000
89	-44.42759243785813	3.5232479756476964	2000
90	-38.68208720527788	2.815873278969353	2000
